Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
"THE GAP, INC. (XNYS:GPS)",GPS,"THE GAP, INC.","Two Folsom Street, SAN FRANCISCO, CA, 94105 US",95000,Specialty Retailers,1988,New York Stock Exchange,USD,11.31,11.43,-0.12,-1.05%,11.30,11.45,11.13,15.49,7.22,369880600,7080455.00,7790089,1.92,4183349586,39.02,Stock,9/6/23 23:46,1976-07-30,-202000000,15000000,340000000,3256000000,0.01
"THE GOLDMAN SACHS GROUP, INC. (XNYS:GS)",GS,"THE GOLDMAN SACHS GROUP, INC.","200 West St, NEW YORK, NY, 10282 US",44600,Investment Banking & Investment Services,1998,New York Stock Exchange,USD,321.13,323.75,-2.62,-0.81%,322.31,324.14,319.31,389.58,287.75,329671100,2120866.00,1692230,1.40,105867280343,13.81,Stock,9/6/23 23:59,1999-05-04,11261000000,233955000000,135448000000,869634000000,-0.06
THE GOODYEAR TIRE & RUBBER COMPANY (XNAS:GT),GT,THE GOODYEAR TIRE & RUBBER COMPANY,"200 Innovation Way, AKRON, OH, 44316 US",74000,Automobiles & Auto Parts,1898,Nasdaq Stock Market,USD,13.19,13.01,0.18,1.38%,13.04,13.24,12.94,16.51,9.66,283477300,2073430.00,4029149,1.81,3739065587,937.87,Stock,9/6/23 23:24,1927-08-05,202000000,1227000000,2610000000,7140000000,0.28
"THE HARTFORD FINANCIAL SERVICES GROUP, INC. (XNYS:HIG)",HIG,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.","1 Hartford Plz, HARTFORD, CT, 06155-0001 US",18800,Insurance,1985,New York Stock Exchange,USD,71.85,71.82,0.03,0.04%,71.55,72.67,71.37,79.44,60.17,305816600,1305867.00,1144014,0.85,21972922710,11.55,Stock,9/6/23 23:00,1985-12-09,NA,NA,NA,NA,-0.05
THE HERSHEY COMPANY (XNYS:HSY),HSY,THE HERSHEY COMPANY,"19 East Chocolate Avenue, External Rptg & Compliance, HERSHEY, PA, 17033 US",18075,Food & Tobacco,1927,New York Stock Exchange,USD,210.39,212.10,-1.71,-0.81%,212.18,212.68,210.08,276.88,210.08,204467900,1006487.00,1172972,0.29,43018001481,24.40,Stock,9/6/23 23:52,1927-12-01,1644817000,NA,NA,NA,-0.08
"THE HOME DEPOT, INC. (XNYS:HD)",HD,"THE HOME DEPOT, INC.","2455 Paces Ferry Road, ATLANTA, GA, 30339 US",471600,Specialty Retailers,1978,New York Stock Exchange,USD,326.00,327.78,-1.78,-0.54%,327.53,328.61,325.56,347.25,265.61,1000066000,3199736.00,3009789,0.96,326021516000,20.46,Stock,9/6/23 23:59,1984-04-19,17105000000,2757000000,3317000000,23110000000,0.04
"THE INTERPUBLIC GROUP OF COMPANIES, INC. (XNYS:IPG)",IPG,"THE INTERPUBLIC GROUP OF COMPANIES, INC.","909 Third Avenue, NEW YORK, NY, 10022 US",58400,Media & Publishing,1930,New York Stock Exchange,USD,32.40,32.18,0.22,0.68%,32.08,32.63,31.98,40.95,25.14,384934700,2754261.00,3311703,1.11,12471884280,13.37,Stock,9/6/23 23:00,1971-08-23,938000000,2545300000,7339000000,9983200000,-0.03
THE J. M. SMUCKER COMPANY (XNYS:SJM),SJM,THE J. M. SMUCKER COMPANY,"One Strawberry Lane, ORRVILLE, OH, 44667-1241 US",5800,Food & Tobacco,1921,New York Stock Exchange,USD,141.13,143.01,-1.88,-1.31%,143.43,143.75,140.70,163.07,135.44,102131400,1029072.00,857410,0.23,14605820000,22.74,Stock,9/6/23 23:45,1965-10-20,-91300000,655800000,597600000,1986700000,-0.10
THE KROGER CO. (XNYS:KR),KR,THE KROGER CO.,"1014 Vine St, CINCINNATI, OH, 45202-1141 US",430000,Food & Drug Retailing,1902,New York Stock Exchange,USD,45.16,45.02,0.14,0.31%,45.28,45.86,45.06,52.00,41.82,717745500,4918024.00,4141166,0.48,32413386779,12.93,Stock,9/6/23 23:59,1928-01-26,2244000000,1015000000,2234000000,17238000000,0.01
THE MOSAIC COMPANY (XNYS:MOS),MOS,THE MOSAIC COMPANY,"101 East Kennedy Blvd., Suite 2500, TAMPA, FL, 33602 US",13570,Chemicals,2004,New York Stock Exchange,USD,38.19,39.24,-1.05,-2.68%,39.02,39.32,37.82,57.16,31.44,332280000,2786700.00,3086141,1.53,13105120000,6.20,Stock,9/6/23 23:03,2004-10-25,3582800000,735400000,1699900000,5533800000,-0.10
"THE PNC FINANCIAL SERVICES GROUP, INC. (XNYS:PNC)",PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.","The Tower At Pnc Plaza, 300 Fifth Avenue, PITTSBURGH, PA, 15222-2401 US",59894,Banking Services,1983,New York Stock Exchange,USD,118.36,120.49,-2.13,-1.77%,120.00,120.16,117.53,170.28,110.31,398254600,1841688.00,1776947,1.13,47137414456,8.27,Stock,9/6/23 23:47,1987-10-21,6041000000,NA,NA,15762000000,-0.24
THE PROCTER & GAMBLE COMPANY (XNYS:PG),PG,THE PROCTER & GAMBLE COMPANY,"One Procter & Gamble Plaza, CINCINNATI, OH, 45202 US",107000,Personal & Household Products & Services,1905,New York Stock Exchange,USD,152.14,152.44,-0.30,-0.20%,152.29,152.45,151.54,158.38,122.18,2356894000,3877460.00,4778615,0.41,358577853159,25.85,Stock,9/6/23 23:59,1950-03-22,14653000000,NA,NA,NA,0.01
THE PROGRESSIVE CORPORATION (XNYS:PGR),PGR,THE PROGRESSIVE CORPORATION,"6300 Wilson Mills Rd, MAYFIELD VILLAGE, OH, 44143 US",55100,Insurance,1965,New York Stock Exchange,USD,134.84,133.52,1.32,0.99%,133.73,135.17,133.51,149.87,110.04,585100000,1641496.00,2270265,0.47,78894884000,46.01,Stock,9/6/23 23:00,1987-01-06,721500000,NA,NA,5532800000,0.03
THE RESTAURANT GROUP PLC (XLON:RTN),RTN,THE RESTAURANT GROUP PLC,"5-7 Marshalsea Road, LONDON, UNITED KINGDOM-NA, SE1 1EP GB",16708,Hotels & Entertainment Services,1954,London Stock Exchange,GBp,42.60,43.70,-1.10,-2.52%,45.00,47.00,41.15,51.60,25.06,765062400,8739355.00,511490,2.95,334332300,0.00,Stock,9/6/23 14:42,No data,NA,NA,NA,NA,No data
THE SHERWIN-WILLIAMS COMPANY (XNYS:SHW),SHW,THE SHERWIN-WILLIAMS COMPANY,"101 West Prospect Avenue, CLEVELAND, OH, 44115-1075 US",64366,Chemicals,1884,New York Stock Exchange,USD,269.07,269.59,-0.52,-0.19%,270.22,270.22,267.32,283.80,195.24,257148600,1083622.00,1332934,1.10,69190973802,29.92,Stock,9/6/23 23:00,1964-02-11,2020100000,198800000,2607400000,5960700000,0.14
THE SOUTHERN COMPANY (XNYS:SO),SO,THE SOUTHERN COMPANY,"30 Ivan Allen Jr Blvd NW, ATLANTA, GA, 30308 US",27700,Electrical Utilities & IPPs,1945,New York Stock Exchange,USD,66.25,66.30,-0.05,-0.08%,66.46,66.55,65.97,80.32,58.85,1090547000,5730372.00,3126333,0.52,72303230000,23.46,Stock,9/6/23 23:59,1949-09-30,3535000000,1917000000,2067000000,15724000000,-0.07
"THE TJX COMPANIES, INC. (XNYS:TJX)",TJX,"THE TJX COMPANIES, INC.","770 Cochituate Rd, FRAMINGHAM, MA, 01701 US",329000,Diversified Retail,1962,New York Stock Exchange,USD,90.76,91.62,-0.86,-0.94%,91.49,91.59,90.49,92.87,59.78,1144081000,6003515.00,5340147,0.90,103836791560,26.88,Stock,9/6/23 23:00,1965-11-17,3498000000,5477000000,563000000,10305000000,0.15
"The Travelers Companies, Inc. (XNYS:TRV)",TRV,"The Travelers Companies, Inc.","385 WASHINGTON ST, SAINT PAUL, MN, 55102 US",32500,Insurance,1853,New York Stock Exchange,USD,160.61,160.39,0.22,0.14%,159.90,161.73,159.50,194.51,149.65,228942300,1098879.00,1076337,0.61,36770422803,17.06,Stock,9/6/23 23:00,1980-03-17,2842000000,NA,NA,3696000000,-0.14
THE WALT DISNEY COMPANY (XNYS:DIS),DIS,THE WALT DISNEY COMPANY,"500 S Buena Vista St, BURBANK, CA, 91521-0001 US",220000,Media & Publishing,2018,New York Stock Exchange,USD,80.98,81.19,-0.21,-0.26%,80.79,82.09,80.53,118.18,80.53,1829779000,15518544.00,16714679,1.29,148559700000,65.93,Stock,9/6/23 23:59,1957-11-12,3145000000,11615000000,10653000000,29073000000,-0.07
THE WESTERN UNION COMPANY (XNYS:WU),WU,THE WESTERN UNION COMPANY,"7001 East Belleview Avenue, DENVER, CO, 80237 US",8900,Professional & Commercial Services,2006,New York Stock Exchange,USD,12.65,12.52,0.13,1.04%,12.47,12.73,12.45,15.45,10.07,374534800,6677297.00,3503759,0.88,4737865220,6.35,Stock,9/6/23 23:50,2006-09-20,910600000,1285900000,NA,1868000000,-0.09
"THE WILLIAMS COMPANIES, INC. (XNYS:WMB)",WMB,"THE WILLIAMS COMPANIES, INC.","One Williams Ctr, TULSA, OK, 74172 US",5043,Oil & Gas Related Equipment and Services,1987,New York Stock Exchange,USD,33.84,34.44,-0.60,-1.74%,34.29,34.33,33.55,35.46,27.80,1216422000,8081677.00,5693507,1.20,41893550000,15.35,Stock,9/6/23 23:51,1967-12-04,2049000000,152000000,2752000000,4890000000,0.05
THERMO FISHER SCIENTIFIC INC. (XNYS:TMO),TMO,THERMO FISHER SCIENTIFIC INC.,"168 Third Avenue, WALTHAM, MA, 02451 US",130000,Healthcare Equipment & Supplies,1960,New York Stock Exchange,USD,536.70,542.01,-5.31,-0.98%,540.92,545.44,536.00,609.85,475.77,385949800,1217931.00,1089058,0.77,207139257660,37.03,Stock,9/6/23 23:20,1980-08-27,6950000000,8524000000,9427000000,17010000000,-0.02
TMK ENERGY LIMITED (XASX:TMK),TMK,TMK ENERGY LIMITED,"1202 Hay Street, PERTH, WESTERN AUSTRALIA, 6005 AU",NA,Oil & Gas,2007,Australian Securities Exchange,AUD,0.01,0.01,0.00,0.00%,0.01,0.01,0.01,0.03,0.01,5030579000,1887916.00,3571440,1.13,65397530,NA,Stock,9/7/23 0:42,No data,NA,NA,NA,NA,No data
TWC Enterprises Limited (XTSE:TWC),TWC,TWC Enterprises Limited,"15675 Dufferin Street, KING CITY, ON, L7B 1K5 CA",650,Hotels & Entertainment Services,1997,Toronto Stock Exchange,CAD,17.84,17.47,0.37,2.12%,17.50,17.84,17.50,18.48,16.21,24589920,600.00,100,1.07,438684172,26.47,Stock,9/6/23 18:21,No data,NA,NA,NA,NA,No data
"TYSON FOODS, INC. (XNYS:TSN)",TSN,"TYSON FOODS, INC.","2200 DON TYSON PARKWAY, SPRINGDALE, AR, 72762-6999 US",142000,Food & Tobacco,1986,New York Stock Exchange,USD,51.52,52.15,-0.63,-1.21%,51.97,52.26,51.23,76.23,47.11,355560300,3876165.00,3031188,0.78,18318466656,55.56,Stock,9/6/23 23:55,1980-03-17,3238000000,1031000000,2577000000,5313000000,-0.16
U.S. BANCORP (XNYS:USB),USB,U.S. BANCORP,"800 Nicollet Mall, MINNEAPOLIS, MN, 55402-7020 US",76646,Banking Services,1929,New York Stock Exchange,USD,36.12,36.52,-0.40,-1.10%,36.26,36.54,35.70,49.95,27.27,1556965000,8712001.00,10566910,1.00,56237575799,10.15,Stock,9/6/23 23:51,1984-05-07,5825000000,NA,NA,1500000000,-0.16
UNION PACIFIC CORPORATION (XNYS:UNP),UNP,UNION PACIFIC CORPORATION,"1400 Douglas Street, OMAHA, NE, 68179 US",31766,Freight & Logistics Services,1969,New York Stock Exchange,USD,212.83,215.71,-2.88,-1.34%,215.83,216.19,211.70,240.48,183.69,609456200,2344807.00,2264494,1.12,129710563046,19.69,Stock,9/6/23 23:00,1969-06-20,6998000000,973000000,1891000000,5520000000,0.04
"UNITED PARCEL SERVICE, INC. (XNYS:UPS)",UPS,"UNITED PARCEL SERVICE, INC.","55 Glenlake Parkway Ne, ATLANTA, GA, 30328 US",536000,Freight & Logistics Services,1999,New York Stock Exchange,USD,162.31,163.97,-1.66,-1.01%,163.88,164.25,161.45,200.96,154.87,854449900,3883549.00,3247031,1.09,140104100000,14.21,Stock,9/6/23 23:42,1999-11-10,11548000000,5602000000,12583000000,18140000000,-0.06
UNITED STATES STEEL CORPORATION (XNYS:X),X,UNITED STATES STEEL CORPORATION,"ROOM 1500, 600 GRANT ST, PITTSBURGH, PA, 15219-2800 US",22740,Metals & Mining,2001,New York Stock Exchange,USD,31.02,31.18,-0.16,-0.51%,31.13,31.26,30.75,32.52,17.89,222963800,4923408.00,15233872,2.15,6916337076,6.05,Stock,9/6/23 23:52,1991-04-12,2524000000,3504000000,1635000000,3959000000,0.24
UNITEDHEALTH GROUP INCORPORATED (XNYS:UNH),UNH,UNITEDHEALTH GROUP INCORPORATED,"9900 Bren Rd E, HOPKINS, MN, 55343-9664 US",400000,Healthcare Providers & Services,2015,New York Stock Exchange,USD,476.94,480.81,-3.87,-0.80%,482.09,483.16,476.38,558.10,445.68,926305100,2596242.00,2365162,0.67,441791954394,21.51,Stock,9/6/23 23:59,1984-10-17,20120000000,23365000000,NA,30825000000,-0.09
UNUM GROUP (XNYS:UNM),UNM,UNUM GROUP,"1 Fountain Square, CHATTANOOGA, TN, 37402 US",10665,Insurance,1995,New York Stock Exchange,USD,48.59,48.87,-0.28,-0.57%,48.80,48.89,48.21,51.15,36.27,195624700,867979.00,935830,1.07,9505404173,6.78,Stock,9/6/23 23:00,1986-11-06,1314200000,119200000,NA,192900000,0.19
"URBAN OUTFITTERS, INC. (XNAS:URBN)",URBN,"URBAN OUTFITTERS, INC.","5000 S Broad St, PHILADELPHIA, PA, 19112 US",12220,Specialty Retailers,1976,Nasdaq Stock Market,USD,32.31,32.43,-0.12,-0.37%,32.59,32.74,32.02,37.82,18.75,92773250,1646748.00,1622621,1.51,2997503707,13.49,Stock,9/6/23 21:23,1993-11-01,159699000,201260000,NA,890374000,0.36
V.F. CORPORATION (XNYS:VFC),VFC,V.F. CORPORATION,"1551 Wewatta Street, DENVER, CO, 80202 US",19800,Textiles & Apparel,1899,New York Stock Exchange,USD,19.59,19.48,0.11,0.56%,19.41,19.81,19.31,44.82,16.77,388868400,5607855.00,6466246,1.46,7617931956,343.56,Stock,9/6/23 23:58,1951-03-19,118584000,814887000,1496194000,3545766000,-0.29
VALERO ENERGY CORPORATION (XNYS:VLO),VLO,VALERO ENERGY CORPORATION,"1 Valero Way, SAN ANTONIO, TX, 78249 US",9716,Oil & Gas,1981,New York Stock Exchange,USD,134.03,133.12,0.91,0.68%,132.97,135.02,131.82,150.39,97.73,353132900,3163409.00,3495211,1.65,47330402587,4.59,Stock,9/6/23 23:50,1980-01-02,11528000000,4862000000,11919000000,17461000000,0.05
VARSAV Game Studios S.A. (XWAR:VAR),VAR,VARSAV Game Studios S.A.,"ul. Aleje Jerozolimskie 123A, WARSZAWA, WOJ. MAZOWIECKIE, 02-017 PL",NA,Software & IT Services,2011,Warsaw Stock Exchange,PLN,0.72,0.72,0.00,-0.28%,0.74,0.74,0.69,1.23,0.51,20050000,16165.00,14330,0.61,14516200,40.45,Stock,9/6/23 14:46,1959-09-14,269200000,766100000,1066100000,1854500000,0.01
"VENTAS, INC. (XNYS:VTR)",VTR,"VENTAS, INC.","SUITE 3300, 353 N. CLARK STREET, CHICAGO, IL, 60654 US",451,Residential & Commercial REIT,1987,New York Stock Exchange,USD,42.64,42.25,0.39,0.92%,42.22,42.68,41.84,53.15,35.33,402377900,1771056.00,2539761,1.23,17157393656,222.56,Stock,9/6/23 23:00,1992-04-02,-47447000,122564000,NA,1332671000,-0.06
"VERISIGN, INC. (XNAS:VRSN)",VRSN,"VERISIGN, INC.","ATTN: GENERAL COUNSEL, 12061 BLUEMONT WAY, RESTON, VA, 20190 US",914,Software & IT Services,1995,Nasdaq Stock Market,USD,205.58,206.25,-0.67,-0.32%,206.37,207.11,204.79,229.72,169.24,103133800,325925.00,376137,0.96,21202246604,30.49,Stock,9/6/23 20:18,1998-01-29,673800000,373600000,6200000,1116900000,0.00
VERIZON COMMUNICATIONS INC. (XNYS:VZ),VZ,VERIZON COMMUNICATIONS INC.,"1095 Avenue Of The Americas, NEW YORK, NY, 10036 US",117100,Telecommunications Services,1983,New York Stock Exchange,USD,34.18,34.30,-0.12,-0.35%,34.10,34.44,33.99,42.85,31.25,4204040000,19187074.00,20024322,0.33,143694087200,6.86,Stock,9/6/23 23:59,1984-02-15,21256000000,2605000000,24506000000,50171000000,-0.13
VISA INC. (XNYS:V),V,VISA INC.,"P.O. Box 8999, SAN FRANCISCO, CA, 94128-8999 US",26500,Software & IT Services,2007,New York Stock Exchange,USD,246.16,245.34,0.82,0.33%,245.42,246.66,244.21,248.87,174.60,2035361000,4520355.00,4384496,0.95,501024463760,31.13,Stock,9/6/23 23:59,2008-03-25,14957000000,15689000000,2020000000,20853000000,0.18
VORNADO REALTY TRUST (XNYS:VNO),VNO,VORNADO REALTY TRUST,"888 7th Ave, NEW YORK, NY, 10106-0001 US",3146,Residential & Commercial REIT,1993,New York Stock Exchange,USD,24.77,24.20,0.57,2.36%,24.04,24.82,23.70,28.50,12.31,190543900,3189742.00,2488821,1.44,4719772403,46.97,Stock,9/6/23 23:00,1962-01-31,-346499000,889689000,776142000,NA,0.16
VULCAN MATERIALS COMPANY (XNYS:VMC),VMC,VULCAN MATERIALS COMPANY,"1200 Urban Center Dr, BIRMINGHAM, AL, 35242 US",11397,Construction Materials,2007,New York Stock Exchange,USD,215.20,216.24,-1.04,-0.48%,216.23,217.06,211.99,229.75,147.64,132866200,657503.00,738318,0.79,28592806240,39.32,Stock,9/6/23 23:51,1957-01-02,575600000,161400000,845600000,956600000,0.23
"W.W. GRAINGER, INC. (XNYS:GWW)",GWW,"W.W. GRAINGER, INC.","5500 West Howard St, SKOKIE, IL, 60077 US",23000,"Machinery, Equipment & Components",1928,New York Stock Exchange,USD,693.54,693.01,0.53,0.08%,693.48,697.60,688.07,811.60,483.19,50000880,224181.00,228356,1.21,34677610315,19.84,Stock,9/6/23 23:00,1975-07-29,1547000000,325000000,2133000000,2010000000,0.25
WAG! GROUP CO. (XNAS:PET),PET,WAG! GROUP CO.,"55 Francisco Street, Suite 360, SAN FRANCISCO, CA, 94133 US",82,Personal & Household Products & Services,2022,Nasdaq Stock Market,USD,2.05,2.06,-0.01,-0.49%,2.02,2.06,2.02,6.50,1.58,38781110,9089.00,69180,2.09,79501275,NA,Stock,9/6/23 22:33,2021-08-30,-38567000,38966000,5872000,16491000,-0.33
WALMART INC. (XNYS:WMT),WMT,WALMART INC.,"702 SW 8th St, BENTONVILLE, AR, 72716-6209 US",2100000,Food & Drug Retailing,1969,New York Stock Exchange,USD,161.47,160.27,1.20,0.75%,160.40,162.17,159.91,162.99,128.07,2691564000,4864854.00,5592629,0.50,434606839080,30.86,Stock,9/6/23 23:59,1972-08-25,11680000000,8625000000,7933000000,92198000000,0.13
WAREHOUSE REIT PLC (XLON:WHR),WHR,WAREHOUSE REIT PLC,"55 Wells Street, LONDON, UNITED KINGDOM-NA, W1T 3PT GB",0,Residential & Commercial REIT,2017,London Stock Exchange,GBp,84.10,82.90,1.20,1.45%,82.90,84.50,82.50,157.80,76.80,424861700,615292.00,738590,0.98,352210300,0.00,Stock,9/6/23 15:45,1955-09-19,-1519000000,1958000000,1555000000,5931000000,-0.03
"WASTE MANAGEMENT, INC. (XNYS:WM)",WM,"WASTE MANAGEMENT, INC.","800 Capitol Street, Ste 3000, HOUSTON, TX, 77002 US",49500,Professional & Commercial Services,1995,New York Stock Exchange,USD,155.97,157.03,-1.06,-0.68%,156.60,156.94,155.36,174.74,148.31,405059400,1380219.00,1250590,0.72,63177114618,28.21,Stock,9/6/23 23:51,1988-06-22,2238000000,351000000,2461000000,4394000000,0.00
"Waterfront Philippines, Incorporated (XPHS:WPI)",WPI,"Waterfront Philippines, Incorporated","7th Floor Pavilion Hotel, United Nations Avenue corner Ma. Orosa Street, MANILA, PHILIPPINES-NA PH",942,Hotels & Entertainment Services,1994,Philippine Stock Exchange,PHP,0.36,0.36,0.00,0.00%,0.36,0.36,0.36,0.53,0.35,2498992000,10000.00,731000,0.98,899637000,7.33,Stock,9/4/23 7:00,No data,NA,NA,NA,NA,No data
WATERS CORPORATION (XNYS:WAT),WAT,WATERS CORPORATION,"34 MAPLE ST, MILFORD, MA, 01757-3604 US",8200,Healthcare Equipment & Supplies,1991,New York Stock Exchange,USD,272.86,276.35,-3.49,-1.26%,275.74,276.29,271.56,353.71,248.18,59102920,382067.00,496363,0.87,16126822751,24.41,Stock,9/6/23 23:00,1995-11-17,707755000,480529000,722892000,785737000,-0.19
"WEC ENERGY GROUP, INC. (XNYS:WEC)",WEC,"WEC ENERGY GROUP, INC.","PO Box 1331, 231 W Michigan St, MILWAUKEE, WI, 53201-1331 US",7022,Electrical Utilities & IPPs,1981,New York Stock Exchange,USD,82.07,82.02,0.05,0.06%,82.20,82.67,81.77,107.60,80.82,315434500,1518553.00,1270594,0.41,25887709414,19.17,Stock,9/6/23 23:00,1947-11-21,1409300000,28900000,1818400000,4611000000,-0.13
WELLS FARGO & COMPANY (XNYS:WFC),WFC,WELLS FARGO & COMPANY,"420 Montgomery St, SAN FRANCISCO, CA, 94104-1207 US",233834,Banking Services,1929,New York Stock Exchange,USD,41.02,41.54,-0.52,-1.25%,41.21,41.40,40.60,48.84,35.25,3658783000,18775431.00,12456776,1.14,151985900000,10.14,Stock,9/6/23 23:57,1962-12-10,13182000000,NA,NA,68740000000,0.01
WESTERN DIGITAL CORPORATION (XNAS:WDC),WDC,WESTERN DIGITAL CORPORATION,"5601 Great Oaks Parkway, SAN JOSE, CA, 95119 US",53000,"Computers, Phones & Household Electronics",2000,Nasdaq Stock Market,USD,45.44,45.79,-0.35,-0.76%,45.42,45.89,45.01,46.33,29.73,321896000,3397453.00,3050991,1.67,14626954240,15.22,Stock,9/6/23 21:47,1980-03-17,-1706000000,2023000000,NA,5434000000,0.45
WEYERHAEUSER COMPANY (XNYS:WY),WY,WEYERHAEUSER COMPANY,"220 Occidental Avenue South, SEATTLE, WA, 98104 US",9264,Residential & Commercial REIT,1900,New York Stock Exchange,USD,32.39,31.92,0.47,1.47%,31.97,32.41,31.91,35.08,26.64,730748000,3342772.00,2943299,1.53,23668927720,33.49,Stock,9/6/23 23:00,1963-12-06,1880000000,1581000000,357000000,1740000000,0.03
WINCANTON PLC (XLON:WIN),WIN,WINCANTON PLC,"Methuen Park, CHIPPENHAM, WILTSHIRE, SN14 0WT GB",20300,Freight & Logistics Services,2001,London Stock Exchange,GBp,234.50,236.00,-1.50,-0.64%,234.50,234.50,234.50,399.00,187.00,124543700,45457.00,134210,0.85,293923100,8.77,Stock,9/6/23 15:45,No data,NA,NA,NA,NA,No data
"WYNN RESORTS, LIMITED (XNAS:WYNN)",WYNN,"WYNN RESORTS, LIMITED","3131 Las Vegas Blvd S, LAS VEGAS, NV, 89109 US",27000,Hotels & Entertainment Services,2002,Nasdaq Stock Market,USD,95.83,97.41,-1.58,-1.62%,96.65,97.24,95.49,117.86,53.81,113936300,1896191.00,2157527,2.05,11098540000,1652.14,Stock,9/6/23 23:47,2002-10-25,-423856000,1950857000,128705000,1811423000,0.18
WYNNSTAY GROUP P.L.C. (XLON:WYN),WYN,WYNNSTAY GROUP P.L.C.,"Eagle House, Llansantffraid, LLANSANTFFRAID, POWYS, SY22 6AQ GB",943,Food & Tobacco,1992,London Stock Exchange,GBp,412.50,412.50,0.00,0.00%,412.50,NA,NA,641.00,389.63,22554590,3634.00,13680,0.92,93037670,6.57,Stock,9/6/23 15:06,No data,NA,NA,NA,NA,No data
Xcel Energy Inc. (XNAS:XEL),XEL,Xcel Energy Inc.,"414 Nicollet Mall, MINNEAPOLIS, MN, 55401 US",11982,Electrical Utilities & IPPs,1909,Nasdaq Stock Market,USD,56.34,55.59,0.75,1.35%,55.79,56.36,55.52,77.66,55.11,551532700,3815401.00,3985185,0.43,31073352318,17.63,Stock,9/6/23 23:34,1949-02-28,1736000000,111000000,1373000000,6078000000,-0.21
Xerox Holdings Corp (XNAS:XRX),XRX,Xerox Holdings Corp,"201 Merritt 7, NORWALK, CT, 06851 US",20300,Office Equipment,2019,Nasdaq Stock Market,USD,16.96,16.94,0.02,0.12%,16.90,16.99,16.75,18.00,11.80,157120000,1515838.00,1190548,1.68,2664755200,14.11,Stock,9/6/23 21:19,1981-05-22,NA,1045000000,950000000,3330000000,0.16
XXL ENERGY CORP. (XTSX:XL),XL,XXL ENERGY CORP.,"RPO Box 60610 Granville Park, VANCOUVER, BC, V6H 4B9 CA",8,Oil & Gas,1987,TSX Venture Exchange,CAD,0.24,0.26,-0.02,-7.84%,0.24,0.24,0.24,0.32,0.23,7252940,7000.00,1600,-0.36,1848960,2.26,Stock,9/5/23 18:42,2019-07-16,28790000,351676000,6477000,16633000,-0.75
XYLEM INC. (XNYS:XYL),XYL,XYLEM INC.,"301 Water Street Se, WASHINGTON, DC, 20003 US",17800,"Machinery, Equipment & Components",2011,New York Stock Exchange,USD,97.81,97.74,0.07,0.07%,97.77,98.26,97.13,118.58,84.16,240828500,1514412.00,1417074,1.10,23555435585,52.01,Stock,9/6/23 23:00,2011-10-13,355000000,944000000,1096000000,1590000000,-0.12
"YUM! BRANDS, INC. (XNYS:YUM)",YUM,"YUM! BRANDS, INC.","1441 Gardiner Lane, LOUISVILLE, KY, 40213 US",23000,Hotels & Entertainment Services,1997,New York Stock Exchange,USD,126.88,128.68,-1.80,-1.40%,128.30,128.81,126.65,143.25,103.97,280211300,1710209.00,1447612,1.01,35553209744,25.98,Stock,9/6/23 23:07,1997-09-17,1325000000,367000000,648000000,1665000000,0.00
Z.M.H HAMMERMAN LTD (XTAE:ZMH),ZMH,Z.M.H HAMMERMAN LTD,"Prof.Dan Shechtman 10, HADERA, 20302 IL",NA,Real Estate Operations,1997,Tel Aviv Stock Exchange,ILa,2511.00,2494.00,17.00,0.68%,2494.00,2544.00,2461.00,5050.00,932.00,20022540,7071.00,4210,1.37,499362200,NA,Stock,9/6/23 14:24,No data,NA,NA,NA,NA,No data
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION (XNAS:ZION)",ZION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION","One South Main, SALT LAKE CITY, UT, 84133-1109 US",9989,Banking Services,NA,Nasdaq Stock Market,USD,34.82,36.13,-1.31,-3.63%,35.60,35.94,34.22,59.75,18.26,148145100,2945622.00,2387743,1.14,5158412382,6.36,Stock,9/6/23 22:35,1966-01-01,907000000,NA,NA,198000000,-0.27
BLACKBERRY LIMITED (XNYS:BB),BB,BLACKBERRY LIMITED,"2200 University Ave E, WATERLOO, ON, N2K 0A7 CA",3325,Software & IT Services,1984,New York Stock Exchange,USD,5.54,5.58,-0.04,-0.72%,5.53,5.65,5.52,6.21,3.17,583239800,3510413.00,4934962,1.17,4426790000,1300.91,Stock,9/6/23 23:59,1966-01-02,NA,NA,NA,NA,0.72
