Stock,Ticker,Name,Headquarters,Employees,Industry,Incorporated,Exchange,Currency,Price,Previous Close,Change,% Change,Open,Day's High,Day's Low,52 Week High,52 Week Low,Shares Outstanding,Volume,Average Volume,Beta,Market Cap,P/E,Insturment,Last Trade Time,IPO Date,Net Income 2022,Cash 2022,Accounts Receivable 2022,Current Liabilities 2022,Average Daily Return
"GANNETT CO., INC. (XNYS:GCI)",GCI,"GANNETT CO., INC.","7950 Jones Branch Drive, MCLEAN, VA, 22107 US",14200,Media & Publishing,2013,New York Stock Exchange,USD,2.73,2.85,-0.12,-4.21%,2.86,2.90,2.69,3.60,1.25,149072900,926508.00,1111686,2.42,406969017,NA,Stock,9/6/23 23:00,2014-02-04,-78002000,94255000,289415000,617038000,0.40
GENERAL DYNAMICS CORPORATION (XNYS:GD),GD,GENERAL DYNAMICS CORPORATION,"11011 Sunset Hills Rd, RESTON, VA, 20190 US",106500,Aerospace & Defense,1952,New York Stock Exchange,USD,218.05,223.33,-5.28,-2.36%,223.00,223.00,217.84,256.86,202.35,273042600,1082860.00,918639,0.83,59536938930,18.34,Stock,9/6/23 23:56,1952-04-25,3390000000,1242000000,11803000000,15341000000,-0.10
GENERAL ELECTRIC COMPANY (XNYS:GE),GE,GENERAL ELECTRIC COMPANY,"One Financial Center, Suite 3700, BOSTON, MA, 02111 US",172000,Consumer Goods Conglomerates,1892,New York Stock Exchange,USD,112.68,112.88,-0.20,-0.18%,112.85,114.07,111.93,117.96,48.29,1088378000,4004815.00,3796090,1.31,122638433040,13.53,Stock,9/6/23 23:55,1892-06-23,225000000,15810000000,17298000000,49428000000,0.73
"GENERAL MILLS, INC. (XNYS:GIS)",GIS,"GENERAL MILLS, INC.","Number One General Mills Blvd, MINNEAPOLIS, MN, 55426 US",34000,Food & Tobacco,1928,New York Stock Exchange,USD,65.87,66.10,-0.23,-0.35%,66.87,67.00,65.83,90.89,65.43,581180900,4262772.00,3650834,0.23,38282385883,15.33,Stock,9/6/23 23:51,1928-11-30,2593900000,585500000,1683200000,7535700000,-0.21
GENUINE PARTS COMPANY (XNYS:GPC),GPC,GENUINE PARTS COMPANY,"2999 Wildwood Parkway, ATLANTA, GA, 30339 US",58000,Automobiles & Auto Parts,1928,New York Stock Exchange,USD,151.78,152.34,-0.56,-0.37%,151.75,152.61,151.00,187.73,145.30,140437900,824541.00,779559,0.91,21394320000,17.80,Stock,9/6/23 23:55,1986-08-20,1182701000,653463000,2188868000,7686110000,-0.12
"GENWORTH FINANCIAL, INC. (XNYS:GNW)",GNW,"GENWORTH FINANCIAL, INC.","6620 W Broad St, RICHMOND, VA, 23230 US",2500,Insurance,2012,New York Stock Exchange,USD,5.60,5.50,0.10,1.82%,5.48,5.64,5.48,6.40,3.44,463087300,2613721.00,2428833,1.01,2593288880,5.09,Stock,9/6/23 23:36,2004-05-25,609000000,1799000000,NA,51000000,0.04
"GILEAD SCIENCES, INC. (XNAS:GILD)",GILD,"GILEAD SCIENCES, INC.","333 LAKESIDE DR, FOSTER CITY, CA, 94404-1147 US",17000,Pharmaceuticals,1987,Nasdaq Stock Market,USD,74.24,75.16,-0.92,-1.22%,75.12,75.14,73.25,89.74,61.45,1246014000,5753846.00,5183403,0.39,92504079360,17.29,Stock,9/6/23 23:56,1992-01-22,4592000000,5412000000,4777000000,11237000000,-0.12
"H & R BLOCK, INC. (XNYS:HRB)",HRB,"H & R BLOCK, INC.","1 H And R Block Way, KANSAS CITY, MO, 64105-1905 US",4000,Personal & Household Products & Services,1955,New York Stock Exchange,USD,38.90,39.07,-0.17,-0.44%,38.95,39.16,38.70,45.93,28.83,146996400,2132914.00,1517016,0.64,5790189000,10.79,Stock,9/6/23 23:00,1969-10-13,553674000,885015000,58447000,998813000,0.08
HALLIBURTON COMPANY (XNYS:HAL),HAL,HALLIBURTON COMPANY,"3000 North Sam Houston Parkway East, 3000 North Sam Houston Parkway East, HOUSTON, TX, 77032 US",47000,Oil & Gas Related Equipment and Services,1996,New York Stock Exchange,USD,40.88,40.70,0.18,0.44%,40.49,40.99,40.40,43.42,23.30,898546300,5467756.00,6599620,2.19,36732572744,15.01,Stock,9/6/23 23:54,1948-09-15,1572000000,2346000000,4627000000,5345000000,0.03
HARFANG EXPLORATION INC. (XTSX:HAR),HAR,HARFANG EXPLORATION INC.,"1100 Des Canadiens-de-Montreal Ave Suite 300, MONTREAL, QC, H3B 2S2 CA",NA,Metals & Mining,2017,TSX Venture Exchange,CAD,0.17,0.17,0.00,0.00%,0.18,0.18,0.15,0.33,0.15,60858860,75500.00,51810,1.00,10041711,NA,Stock,9/6/23 19:25,No data,NA,NA,NA,NA,No data
